sample,merged,filtered,derep,derep_ratio
2OsRE1_1,167052,124786,61945,0.4964098537
2OsRE1_2,177539,136617,62141,0.4548555451
2OsRE1_3,147577,115562,55425,0.4796126754
2OsRE2_1,167760,128518,63953,0.4976190106
2OsRE2_2,171343,132158,60687,0.4592003511
2OsRE2_3,139915,103950,52413,0.5042135642
2OsRE3_1,167000,130717,66282,0.5070648806
2OsRE3_2,167427,128725,58141,0.4516682851
2OsRE3_3,159698,123539,60932,0.4932207643
2OsRE3_4,142194,100701,22494,0.2233741472
2OsRE3_5,175734,130506,34639,0.2654207469
2OsRE3_6,155933,104131,26308,0.2526433051
Bs1171_1,463996,408811,363375,0.8888581765
Bs1171_2,490424,439948,389121,0.8844704374
Bs1171_3,400094,353627,315277,0.8915523984
Bs1171_4,168422,146674,136170,0.9283853989
Bs1171_5,365786,318308,288837,0.9074135743
Bs1171_6,285107,246377,222425,0.9027831332
Bs1196_1,519825,450182,380449,0.845100426
Bs1196_2,587095,526711,454254,0.8624349976
Bs1196_3,490311,426919,374745,0.8777894636
Bs1196_4,614150,542533,472626,0.8711470086
Bs1196_5,556303,488181,431098,0.8830700089
Bs1196_6,462435,404715,361749,0.8938364034
bS1_1,71382,64326,43125,0.6704132077
bS1_2,77414,70246,45582,0.6488910401
bS1_3,63236,56769,41751,0.7354542092
bS1_4,53494,40705,13157,0.3232281047
C_BS1_1,58083,51151,34222,0.6690387285
C_BS1_2,75703,68161,43056,0.6316808732
C_BS1_3,60417,53254,38621,0.7252225185
OsRE1_1,132253,98123,31811,0.3241951428
OsRE1_2,136490,104899,31508,0.3003651131
OsRE1_3,138219,106722,31229,0.2926200783
OsRE2_1,126488,94600,31743,0.3355496829
OsRE2_2,150205,113975,33717,0.2958280325
OsRE2_3,144105,110080,34924,0.3172601744
OsRE3_1,111564,77875,26486,0.3401091493
OsRE3_2,155904,124027,34474,0.2779556064
OsRE3_3,157215,125934,35901,0.2850778979
OsRE3_4,133350,95944,20797,0.2167618611
OsRE3_5,130285,94744,23163,0.2444798615
OsRE3_6,134728,96018,18624,0.1939636318
